OPUS ID,Instrument Name,Planet,Intended Target Name,Observation Start Time,Observation Duration (secs)
co-iss-n1463538116,Cassini ISS,Saturn,Saturn,2004-05-18T01:58:04.102,2.0000
co-iss-n1463538133,Cassini ISS,Saturn,Saturn,2004-05-18T01:58:22.101,1.0000
co-iss-n1463538165,Cassini ISS,Saturn,Saturn,2004-05-18T01:58:49.509,5.6000
co-iss-n1463538182,Cassini ISS,Saturn,Saturn,2004-05-18T01:59:10.113,2.0000
co-iss-n1463538222,Cassini ISS,Saturn,Saturn,2004-05-18T01:59:34.117,18.0000
co-iss-n1463538310,Cassini ISS,Saturn,Saturn,2004-05-18T02:00:42.120,38.0000
co-iss-n1463538366,Cassini ISS,Saturn,Saturn,2004-05-18T02:01:58.127,18.0000
co-iss-n1463538406,Cassini ISS,Saturn,Saturn,2004-05-18T02:02:53.531,2.6000
co-iss-n1463538454,Cassini ISS,Saturn,Saturn,2004-05-18T02:03:35.935,8.2000
co-cirs-0408010000-fp1,Cassini CIRS,Saturn,Saturn,2004-08-01T00:00:06.000,12.0000
co-cirs-0408010000-fp3,Cassini CIRS,Saturn,Saturn,2004-08-01T00:00:06.000,12.0000
co-cirs-0408010000-fp4,Cassini CIRS,Saturn,Saturn,2004-08-01T00:00:06.000,12.0000
co-cirs-0408010657-fp1,Cassini CIRS,Saturn,Saturn,2004-08-01T06:57:35.000,12.0000
co-cirs-0408010657-fp3,Cassini CIRS,Saturn,Saturn,2004-08-01T06:57:35.000,12.0000
co-cirs-0408010657-fp4,Cassini CIRS,Saturn,Saturn,2004-08-01T06:57:35.000,12.0000
co-cirs-0408011357-fp1,Cassini CIRS,Saturn,Sky,2004-08-01T13:57:36.000,12.0000
co-cirs-0408011357-fp3,Cassini CIRS,Saturn,Sky,2004-08-01T13:57:36.000,12.0000
co-cirs-0408011357-fp4,Cassini CIRS,Saturn,Sky,2004-08-01T13:57:36.000,12.0000
co-cirs-0408020122-fp1,Cassini CIRS,Saturn,Saturn,2004-08-02T01:22:34.000,4.7500
co-cirs-0408020122-fp3,Cassini CIRS,Saturn,Saturn,2004-08-02T01:22:39.000,4.7500
co-cirs-0408020122-fp4,Cassini CIRS,Saturn,Saturn,2004-08-02T01:22:39.000,4.7500
co-cirs-0408020159-fp1,Cassini CIRS,Saturn,Saturn,2004-08-02T01:59:23.000,12.0000
co-cirs-0408020159-fp3,Cassini CIRS,Saturn,Saturn,2004-08-02T01:59:23.000,12.0000
co-cirs-0408020159-fp4,Cassini CIRS,Saturn,Saturn,2004-08-02T01:59:23.000,12.0000
co-cirs-0408020209-fp1,Cassini CIRS,Saturn,Saturn,2004-08-02T02:09:34.000,4.7500
co-cirs-0408020209-fp3,Cassini CIRS,Saturn,Saturn,2004-08-02T02:09:39.000,4.7500
co-cirs-0408020209-fp4,Cassini CIRS,Saturn,Saturn,2004-08-02T02:09:39.000,4.7500
co-cirs-0408021052-fp1,Cassini CIRS,Saturn,Sky,2004-08-02T10:52:34.000,4.7500
co-cirs-0408021052-fp3,Cassini CIRS,Saturn,Sky,2004-08-02T10:52:39.000,4.7500
co-cirs-0408021052-fp4,Cassini CIRS,Saturn,Sky,2004-08-02T10:52:39.000,4.7500
co-cirs-0408021128-fp1,Cassini CIRS,Saturn,Sky,2004-08-02T11:28:22.000,12.0000
co-cirs-0408021128-fp3,Cassini CIRS,Saturn,Sky,2004-08-02T11:28:22.000,12.0000
co-cirs-0408021128-fp4,Cassini CIRS,Saturn,Sky,2004-08-02T11:28:22.000,12.0000
co-cirs-0408021139-fp1,Cassini CIRS,Saturn,Sky,2004-08-02T11:39:34.000,4.7500
co-cirs-0408021139-fp3,Cassini CIRS,Saturn,Sky,2004-08-02T11:39:39.000,4.7500
co-cirs-0408021139-fp4,Cassini CIRS,Saturn,Sky,2004-08-02T11:39:39.000,4.7500
co-cirs-0408031652-fp1,Cassini CIRS,Saturn,Saturn,2004-08-03T16:52:34.000,4.7500
co-cirs-0408031652-fp3,Cassini CIRS,Saturn,Saturn,2004-08-03T16:52:39.000,4.7500
co-cirs-0408031652-fp4,Cassini CIRS,Saturn,Saturn,2004-08-03T16:52:39.000,4.7500
co-cirs-0408031728-fp1,Cassini CIRS,Saturn,Saturn,2004-08-03T17:28:22.000,12.0000
co-cirs-0408031728-fp3,Cassini CIRS,Saturn,Saturn,2004-08-03T17:28:22.000,12.0000
co-cirs-0408031728-fp4,Cassini CIRS,Saturn,Saturn,2004-08-03T17:28:22.000,12.0000
co-cirs-0408031739-fp1,Cassini CIRS,Saturn,Saturn,2004-08-03T17:39:34.000,4.7500
co-cirs-0408031739-fp3,Cassini CIRS,Saturn,Saturn,2004-08-03T17:39:39.000,4.7500
co-cirs-0408031739-fp4,Cassini CIRS,Saturn,Saturn,2004-08-03T17:39:39.000,4.7500
